mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion
"RandomForest(272907,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",5.695694075606275e-30,0.11171856576472672,5.695694075606275e-30,0.7743471644246375,6,91.0298605754687
"RandomForest(299800,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",6.68240634010209e-30,0.11324421684859731,6.68240634010209e-30,0.7313654100230608,6,100.0
"RandomForest(299,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.10003644741451265,0.374847270640323,0.9703445749548484,1.5450104976245493,7,0.1
"RandomForest(314,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.09528727753877991,0.3616643592986093,0.9378333505758949,1.4833473701158366,7,0.10481131341546858
"RandomForest(329,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.09061452037762179,0.3563884513483531,0.9217045234727166,1.7690897433525832,7,0.10985411419875583
"RandomForest(345,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.08604389985582338,0.3567307832266045,0.9316937589612134,1.7121338507893487,7,0.11513953993264472
"RandomForest(361,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.08205628713880067,0.3639559382819347,0.9315307638417438,1.4802825274711378,7,0.12067926406393285
"RandomForest(379,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.07699629254292314,0.36131718562167103,0.9257792561335001,1.4491501782671181,7,0.12648552168552962
"RandomForest(397,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.07182768212897454,0.3551254885862416,0.882906947661333,1.2959486735044474,7,0.13257113655901093
"RandomForest(416,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0665298551256395,0.3599005666814805,0.9289373573297284,1.3588408166453076,7,0.13894954943731375
"RandomForest(436,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.06277371096358325,0.33960615522955295,0.902114945881707,1.0071190144028177,7,0.14563484775012436
"RandomForest(457,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0591272189691417,0.31424879646776105,0.8090419733989205,0.9764574735689314,7,0.15264179671752334
"RandomForest(479,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.055286057180196156,0.3165841480933311,0.8295300942979652,0.9452626695027572,7,0.15998587196060582
"RandomForest(502,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.05186057749502186,0.32283373209545063,0.8264428872525034,0.9430157021156211,7,0.16768329368110083
"RandomForest(526,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.04860671570888421,0.3232591786119897,0.8354063742906733,0.9415600336336777,7,0.1757510624854792
"RandomForest(552,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.04504894983031839,0.3350546192781967,0.8757610173244011,0.9395032285827777,7,0.1842069969326716
"RandomForest(578,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.041824538074289395,0.33709135095710796,0.8313450569934038,0.8990027173707787,7,0.193069772888325
"RandomForest(606,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.03821638684850347,0.34974225989403535,0.7479122222988112,0.8315123976640583,7,0.20235896477251566
"RandomForest(635,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.03541901098438795,0.34405542662551725,0.7539504753634648,0.7298802368612971,7,0.21209508879201905
"RandomForest(666,False,7)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.03281614465192135,0.34405542662551725,0.7695176754195624,0.7197512926631333,7,0.22229964825261944
